country,counts,id,month,year
BB,1,127,1,2016
CA,2,127,1,2016
FR,4,127,1,2016
MQ,2,127,2,2016
DK,2,127,2,2016
FR,5,127,3,2016
US,5,127,3,2016
DE,2,127,3,2016
FR,4,127,4,2016
ES,2,127,5,2016
FR,5,127,5,2016
IT,2,127,5,2016
PL,2,127,6,2016
FR,4,127,6,2016
NO,2,127,6,2016
DK,2,127,7,2016
RU,2,127,7,2016
PL,7,127,8,2016
US,4,127,8,2016
SE,2,127,8,2016
PL,7,127,9,2016
US,2,127,9,2016
RU,2,127,9,2016
MQ,2,127,9,2016
BG,1,127,9,2016
FR,3,127,10,2016
CH,2,127,10,2016
PL,2,127,10,2016
BE,2,127,10,2016
US,11,127,10,2016
GB,2,127,10,2016
GR,2,127,10,2016
MQ,2,127,10,2016
US,6,127,11,2016
BE,3,127,11,2016
DE,2,127,11,2016
FR,11,127,11,2016
NO,1,127,11,2016
MQ,3,127,11,2016
CA,1,127,11,2016
MQ,2,127,12,2016
DE,2,127,12,2016
US,4,127,12,2016
LU,2,127,12,2016
CA,3,127,12,2016
CH,2,127,12,2016
HU,2,127,1,2017
US,8,127,1,2017
CH,5,127,1,2017
CA,3,127,1,2017
US,9,127,3,2017
FR,2,127,3,2017
AU,5,127,4,2017
RO,2,127,4,2017
GB,2,127,5,2017
CA,3,127,5,2017
FI,2,127,5,2017
US,4,127,6,2017
GB,2,127,6,2017
CO,1,127,6,2017
CH,2,127,6,2017
SK,2,127,7,2017
SE,2,127,7,2017
DE,2,127,7,2017
US,9,127,8,2017
SE,2,127,8,2017
GB,3,127,8,2017
FR,4,127,8,2017
NL,2,127,8,2017
DE,3,127,8,2017
FI,2,127,8,2017
RU,2,127,8,2017
CH,2,127,9,2017
DE,2,127,9,2017
US,6,127,9,2017
RU,1,127,9,2017
GB,2,127,9,2017
NL,1,127,9,2017
MQ,1,127,9,2017
FR,1,127,9,2017
AT,1,127,9,2017
RU,1,127,10,2017
FR,18,127,10,2017
US,6,127,10,2017
CA,1,127,10,2017
MQ,1,127,10,2017
BE,1,127,10,2017
DE,1,127,10,2017
FR,2,127,11,2017
US,2,127,11,2017
NL,1,127,11,2017
UA,1,127,11,2017
BE,1,127,11,2017
ZA,1,127,12,2017
IT,1,127,12,2017
DE,2,127,12,2017
FR,1,127,12,2017
SE,1,127,12,2017
,1,127,2,2018
US,3,127,4,2002
US,6,127,11,2001
FR,8,127,7,2002
GP,1,127,12,2001
FR,2,127,1,2004
FR,4,127,4,2004
FR,31,127,12,2001
FR,3,127,2,2004
DE,1,127,9,2004
FR,17,127,11,2001
FR,12,127,8,2003
US,1,127,3,2003
GP,1,127,5,2003
ES,3,127,6,2003
FR,16,127,11,2002
US,5,127,6,2003
FR,9,127,9,2003
GB,2,127,6,2004
US,5,127,9,2003
FR,7,127,3,2003
US,9,127,12,2001
US,9,127,6,2004
US,4,127,2,2003
GB,4,127,8,2004
BE,3,127,9,2004
FI,1,127,8,2003
FR,22,127,1,2002
IT,3,127,10,2002
GB,2,127,3,2004
US,3,127,1,2003
FR,12,127,8,2002
FR,3,127,12,2003
DE,2,127,1,2004
ES,1,127,10,2003
US,3,127,10,2002
GF,1,127,11,2002
FR,3,127,8,2004
FR,5,127,7,2004
DE,1,127,8,2003
GB,1,127,2,2003
US,3,127,10,2004
ES,1,127,9,2003
US,7,127,1,2004
US,3,127,3,2004
CA,4,127,1,2002
GB,2,127,10,2002
NO,1,127,9,2002
NL,1,127,2,2003
FR,11,127,6,2003
CA,1,127,5,2002
FR,15,127,2,2002
BE,2,127,9,2003
IT,1,127,8,2004
US,6,127,7,2003
GB,1,127,7,2004
DE,1,127,7,2004
US,1,127,5,2003
RU,1,127,2,2003
CA,1,127,3,2004
LU,1,127,11,2001
CH,2,127,7,2004
NO,2,127,7,2004
CH,2,127,8,2003
FR,8,127,12,2002
GB,2,127,8,2002
GB,3,127,11,2002
IT,2,127,5,2003
FR,15,127,2,2003
IT,3,127,9,2004
MC,1,127,12,2001
AW,1,127,8,2002
US,5,127,8,2003
FR,15,127,9,2002
DE,1,127,10,2004
IE,1,127,12,2002
CA,1,127,6,2003
MQ,2,127,10,2003
NL,2,127,3,2002
US,4,127,7,2004
US,1,127,3,2002
US,3,127,12,2003
CH,1,127,1,2004
US,5,127,11,2002
US,5,127,2,2004
FR,13,127,6,2002
FR,6,127,9,2004
BE,1,127,1,2002
FR,6,127,1,2003
US,7,127,10,2003
GB,2,127,8,2003
ES,1,127,5,2003
GB,2,127,10,2003
CA,1,127,1,2004
FR,2,127,5,2004
DE,1,127,8,2001
FR,1,127,7,2001
MA,1,127,7,2001
FR,2,127,8,2001
FR,11,127,10,2001
DE,1,127,9,2001
CH,2,127,11,2001
MA,1,127,12,2001
BE,1,127,12,2001
ES,1,127,1,2002
MQ,1,127,12,2001
FR,8,127,3,2002
FR,3,127,4,2002
MQ,1,127,2,2002
BE,1,127,5,2002
FR,8,127,5,2002
CH,2,127,5,2002
MQ,1,127,6,2002
CH,3,127,8,2002
PF,1,127,8,2002
BE,3,127,8,2002
CA,1,127,7,2002
CH,3,127,9,2002
GF,1,127,9,2002
BE,2,127,9,2002
FR,20,127,10,2002
MQ,1,127,10,2002
BE,2,127,11,2002
IT,3,127,11,2002
ES,2,127,11,2002
GB,2,127,12,2002
MQ,3,127,12,2002
MQ,1,127,1,2003
CH,1,127,1,2003
LU,1,127,1,2003
GP,1,127,1,2003
DE,2,127,2,2002
IT,4,127,11,2003
RU,1,127,11,2003
IT,2,127,3,2004
ES,1,127,9,2004
CA,2,127,10,2003
US,4,127,12,2002
IE,1,127,12,2001
IT,1,127,5,2004
CO,1,127,3,2004
MQ,1,127,4,2003
FR,5,127,6,2004
DE,1,127,9,2003
IL,1,127,11,2003
BE,1,127,12,2002
PT,1,127,6,2004
IT,3,127,1,2003
CA,1,127,11,2001
US,2,127,10,2001
US,2,127,9,2004
CH,1,127,2,2003
US,6,127,9,2002
FR,2,127,3,2004
PT,1,127,2,2002
IL,1,127,2,2003
US,1,127,5,2002
GB,3,127,6,2002
CH,1,127,7,2002
AT,1,127,4,2003
FR,4,127,5,2003
GB,2,127,7,2003
IT,1,127,8,2003
FR,6,127,10,2003
GF,1,127,3,2003
BE,1,127,1,2004
CH,1,127,11,2003
US,3,127,5,2004
FR,2,127,9,2001
CA,2,127,2,2002
NL,1,127,2,2002
BE,1,127,6,2004
GB,3,127,6,2003
US,10,127,1,2002
NO,1,127,5,2003
GB,1,127,10,2001
CH,2,127,11,2002
GB,2,127,4,2002
GB,2,127,1,2003
US,4,127,6,2002
NO,1,127,1,2004
IT,2,127,12,2002
US,5,127,2,2002
FR,6,127,4,2003
CH,2,127,10,2002
DE,1,127,8,2004
NL,1,127,12,2003
IT,1,127,12,2003
FR,7,127,7,2003
BE,1,127,2,2004
CH,1,127,5,2003
